,bbm_id,Name,Status,bbm_abr_2018,Conf,Pos,Age,g,Date,m,player_id,carmelo,pipm,espn,oRPM,dRPM,oPIPM,dPIPM,xORPM,xDRPM,oKPM,dKPM,bbm_abr_2019,tenure,MP,new_coach,USG,oRL,dRL,same_team,o_regress,d_regress
47,5364,Buddy Hield,Position Battle,SAC,2.0,SG,24.8,80.0,43388,2360.0,/players/h/hieldbu01.html,Buddy Hield,Buddy Hield,Buddy Hield,0.9,-1.4,0.13,-0.21,0.67,-1.24,0.7540000000000001,-1.2329999999999999,SAC,2.0,2021.8,0.0,24.3,-1.1,-0.8,True,1.0,1.0
48,3404,Nikola Vucevic,Unrestricted Free Agent,ORL,3.0,PF/C,28.0,70.0,43389,2066.0,/players/v/vucevni01.html,Nikola Vucevic,Nikola Vucevic,Nikola Vucevic,-0.7,2.3,0.02,1.52,-1.11,2.43,-0.5257,2.0349000000000004,ORL,7.0,1685.4,1.0,25.9,-1.55,0.8,False,0.7,0.9
49,3537,Jeremy Lamb,Unrestricted Free AgentPosition Battle,CHA,2.0,SG/SF,26.4,79.0,43386,2370.0,/players/l/lambje01.html,Jeremy Lamb,Jeremy Lamb,Jeremy Lamb,1.1,-0.7,0.29,-0.64,1.64,-0.09,0.8266999999999999,-0.45990000000000003,CHA,6.0,1967.5,1.0,22.4,-1.25,-0.5,False,0.7,0.9
50,5465,John Collins,Breakout Candidate,ATL,3.0,PF/C,21.1,72.5,43389,2247.5,/players/c/collijo01.html,John Collins,John Collins,John Collins,-0.5,1.2,-0.62,1.24,-0.82,0.79,-0.42559999999999987,0.9729,ATL,1.0,1784.2,1.0,17.9,-1.55,0.8,False,0.7,0.9
51,3923,Gary Harris,,DEN,4.0,SG/SF,24.1,71.5,43386,2431.0,/players/h/harriga01.html,Gary Harris,Gary Harris,Gary Harris,2.0,-1.0,1.57,-0.36,2.89,-0.93,2.224,-0.915,DEN,4.0,2309.2,0.0,20.7,-1.25,-0.5,True,1.0,1.0
52,3242,Joe Ingles,,UTA,3.0,SG/SF,31.0,81.0,43388,2511.0,/players/i/inglejo01.html,Joe Ingles,Joe Ingles,Joe Ingles,0.9,0.9,0.41,0.24,1.92,0.43,1.157,0.6930000000000001,UTA,4.0,2956.9,0.0,15.9,-1.25,-0.5,True,1.0,1.0
53,5053,Myles Turner,Breakout CandidateRestricted Free Agent,IND,2.0,PF/C,22.6,72.5,43386,2175.0,/players/t/turnemy01.html,Myles Turner,Myles Turner,Myles Turner,-0.9,2.2,0.01,1.72,-0.41,2.11,-0.662,2.125,IND,3.0,2035.2,0.0,20.0,-1.55,0.8,True,1.0,1.0
54,5468,Jarrett Allen,Breakout Candidate,BKN,3.0,PF/C,20.5,75.5,43389,2000.0,/players/a/allenja01.html,Jarrett Allen,Jarrett Allen,Jarrett Allen,-1.6,1.6,-0.65,0.7,-1.65,1.13,-1.5199999999999998,1.369,BKN,1.0,1440.7,0.0,16.3,-1.55,0.8,True,1.0,1.0
55,3436,Will Barton,New Contract,DEN,3.0,SG/SF,27.8,79.0,43386,2686.0,/players/b/bartowi01.html,Will Barton,Will Barton,Will Barton,1.0,-1.0,-0.09,-1.29,1.25,-1.12,0.966,-1.065,DEN,6.0,2681.0,0.0,20.7,-1.25,-0.5,True,1.0,1.0
56,3162,Gordon Hayward,,BOS,2.0,SG/SF,28.6,72.5,43386,2283.0,/players/h/haywago01.html,Gordon Hayward,Gordon Hayward,Gordon Hayward,2.1,-0.4,2.27,-0.18,-0.1,0.32,1.457,-0.16199999999999998,BOS,8.0,5.3,0.0,17.9,-1.25,-0.5,True,1.0,1.0
57,3021,Jeff Teague,Player Option,MIN,4.0,PG,30.3,75.5,43386,2491.5,/players/t/teaguje01.html,Jeff Teague,Jeff Teague,Jeff Teague,1.3,-0.9,0.46,-0.85,0.5,-1.42,0.9760000000000001,-1.051,MIN,9.0,2467.8,0.0,20.6,-0.7,-1.0,True,1.0,1.0
58,3901,Kyle Anderson,New TeamNew Contract,MEM,3.0,SG/SF,25.1,74.0,43389,2294.0,/players/a/anderky01.html,Kyle Anderson,Kyle Anderson,Kyle Anderson,-0.7,3.0,-0.8,1.88,0.12,3.45,-0.3248,2.7207000000000003,SAS,4.0,2051.8,0.0,13.5,-1.25,-0.5,False,0.7,0.9
59,5453,Jonathan Isaac,Breakout Candidate,ORL,2.0,PF,21.0,71.5,43389,2145.0,/players/i/isaacjo01.html,Jonathan Isaac,Jonathan Isaac,Jonathan Isaac,-2.4,2.1,-2.25,1.83,-3.52,1.64,-1.9046999999999998,1.7415,ORL,1.0,535.0,1.0,15.0,-1.4,0.3,False,0.7,0.9
60,5412,Taurean Prince,,ATL,3.0,SF,24.2,80.0,43389,2520.0,/players/p/princta02.html,Taurean Prince,Taurean Waller-Prince,Taurean Prince,-0.5,-0.1,-0.79,-0.79,-0.15,-0.44,-0.29679999999999995,-0.24390000000000003,ATL,2.0,2467.3,1.0,22.1,-1.4,-0.2,False,0.7,0.9
61,3402,Jonas Valanciunas,Position BattlePlayer Option,TOR,2.0,C,26.4,77.0,43386,1809.5,/players/v/valanjo01.html,Jonas Valanciunas,Jonas Valanciunas,Jonas Valanciunas,-0.4,1.0,0.34,0.46,-0.22,0.01,-0.1904,0.5841000000000001,TOR,6.0,1973.5,1.0,22.7,-1.7,1.3,False,0.7,0.9
62,3046,Ricky Rubio,Unrestricted Free Agent,UTA,3.0,PG,28.0,76.5,43388,2257.0,/players/r/rubiori01.html,Ricky Rubio,Ricky Rubio,Ricky Rubio,1.3,0.9,0.12,0.95,0.21,1.83,0.855,1.184,UTA,7.0,2431.8,0.0,22.9,-0.7,-1.0,True,1.0,1.0
