bbm_id,bbm_name,spotrac,espn,bref,pipm,player_id,Draft,carmelo
5026,Frank Kaminsky,Frank Kaminsky,Frank Kaminsky,Frank Kaminsky,Frank Kaminsky,/players/k/kaminfr01.html,2015 (Pick 9),Frank Kaminsky
3938,Shabazz Napier,Shabazz Napier,Shabazz Napier,Shabazz Napier,Shabazz Napier,/players/n/napiesh01.html,2014 (Pick 24),Shabazz Napier
5307,Thon Maker,Thon Maker,Thon Maker,Thon Maker,Thon Maker,/players/m/makerth01.html,2016 (Pick 10),Thon Maker
3716,Michael Carter-Williams,Michael Carter-Williams,Michael Carter-Williams,Michael Carter-Williams,Michael Carter-Williams,/players/c/cartemi01.html,2013 (Pick 11),Michael Carter-Williams
3918,Dante Exum,Dante Exum,Dante Exum,Dante Exum,Dante Exum,/players/e/exumda01.html,2014 (Pick 5),Dante Exum
5480,Frank Mason III,Frank Mason,Frank Mason III,Frank Mason,Frank Mason,/players/m/masonfr01.html,2017 (Pick 34),Frank Mason
2280,Luol Deng,Luol Deng,Luol Deng,Luol Deng,Luol Deng,/players/d/denglu01.html,2004 (Pick 7),Luol Deng
5612,Amile Jefferson,Amile Jefferson,Amile Jefferson,Amile Jefferson,Amile Jefferson,/players/j/jeffeam01.html,2017,
5481,Ivan Rabb,Ivan Rabb,Ivan Rabb,Ivan Rabb,Ivan Rabb,/players/r/rabbiv01.html,2017 (Pick 35),Ivan Rabb
2724,Jeff Green,Jeff Green,Jeff Green,Jeff Green,Jeff Green,/players/g/greenje02.html,2007 (Pick 5),Jeff Green
2812,Michael Beasley,Michael Beasley,Michael Beasley,Michael Beasley,Michael Beasley,/players/b/beaslmi01.html,2008 (Pick 2),Michael Beasley
5447,David Nwaba,David Nwaba,David Nwaba,David Nwaba,David Nwaba,/players/n/nwabada01.html,,David Nwaba
5467,Terrance Ferguson,Terrance Ferguson,Terrance Ferguson,Terrance Ferguson,Terrance Ferguson,/players/f/fergute01.html,2017 (Pick 21),Terrance Ferguson
5098,T.J. McConnell,T.J. McConnell,T.J. McConnell,T.J. McConnell,T.J. McConnell,/players/m/mccontj01.html,2015,T.J. McConnell
5015,Andrew Harrison,Andrew Harrison,Andrew Harrison,Andrew Harrison,Andrew Harrison,/players/h/harrian01.html,2015 (Pick 44),Andrew Harrison
5674,Chandler Hutchison,Chandler Hutchison,Chandler Hutchison,Chandler Hutchison,Chandler Hutchison,/players/h/hutchch01.html,2018 (Pick 22),Chandler Hutchison
